"Name","Pos","Age","Team","GP","G","A","PTS","+/-","PIM","PPG","PPP","SOG","PTS/G","NHLe"
"LUKAS SILLINGER","L","25.8","Iowa Wild","5","0","0","0","-1","2","0","0","5","0.00","0"
"LUKE MISTELBACHER","R","20.7","Belleville Senators","3","0","0","0","-1","0","0","0","2","0.00","0"
"MACK OLIPHANT","D","23.5","San Jose","1","0","0","0","1","0","0","0","2","0.00","0"
"MARTIN POSPISIL","C","26.6","Calgary Wranglers","2","0","0","0","-3","2","0","0","7","0.00","0"
"MASON MCCORMICK","C","25.1","Milwaukee","2","0","0","0","-2","0","0","0","0","0.00","0"
"MATTHEW ANDONOVSKI","D","21.3","Belleville Senators","3","0","0","0","0","0","0","0","0","0.00","0"
"MATTHEW SOP","L","23.4","Iowa Wild","3","0","0","0","-2","0","0","0","2","0.00","0"
"MAX ANDREEV","L","27.7","Providence Bruins","1","0","0","0","-1","0","0","0","0","0.00","0"
"MAX GRAHAM","F","22.1","Wilkes-Barre/Scranton Penguins","1","0","0","0","0","9","0","0","0","0.00","0"
"MAXIM BARBASHEV","F","22.5","Tucson Roadrunners","3","0","0","0","-1","0","0","0","0","0.00","0"
"NATHAN BROWN","C","20.3","Belleville Senators","1","0","0","0","0","7","0","0","0","0.00","0"
"NICK ANDREWS","D","25.0","Grand Rapids","1","0","0","0","0","0","0","0","0","0.00","0"
"OWEN LINDMARK","C","25.1","San Diego Gulls","3","0","0","0","-1","0","0","0","0","0.00","0"
"QUINN BEAUCHESNE","D","19.3","Wilkes-Barre/Scranton Penguins","1","0","0","0","0","0","0","0","1","0.00","0"
"RIEGER LORENZ","L","22.2","Iowa Wild","3","0","0","0","-4","4","0","0","5","0.00","0"
"RILEY MCCOURT","D","26.0","Belleville Senators","2","0","0","0","-1","2","0","0","1","0.00","0"
"ROMAIN RODZINSKI","D","24.1","Hershey Bears","6","0","0","0","-3","0","0","0","10","0.00","0"
"ROMAN KINAL","D","27.9","San Diego Gulls","14","0","0","0","-6","2","0","0","11","0.00","0"
"RYAN BOTTRILL","F","22.4","Iowa Wild","5","0","0","0","-2","2","0","0","4","0.00","0"
"RYAN MCCLEARY","D","22.8","Toronto Marlies","1","0","0","0","-1","0","0","0","0","0.00","0"
"RYAN MCGUIRE","F","23.9","Iowa Wild","2","0","0","0","-2","2","0","0","1","0.00","0"
"RYAN MILLER","F","19.2","Wilkes-Barre/Scranton Penguins","2","0","0","0","-1","2","0","0","3","0.00","0"
"RYAN TATTLE","F","24.8","Providence Bruins","5","0","0","0","1","2","0","0","3","0.00","0"
"SAM SEDLEY","D","23.1","Belleville Senators","2","0","0","0","-1","0","0","0","1","0.00","0"
"SAM STEVENS","C","26.2","Toronto Marlies","4","0","0","0","-1","2","0","0","8","0.00","0"
"SAMUEL MAYER","D","23.2","Henderson Silver Knights","4","0","0","0","0","0","0","0","7","0.00","0"
"SCOTT REEDY","F","27.2","Bridgeport Islanders","6","0","0","0","-5","0","0","0","7","0.00","0"
"SEAN LAROCHELLE","D","25.4","Manitoba","3","0","0","0","0","2","0","0","1","0.00","0"
"STEVIE LESKOVAR","D","21.8","Iowa Wild","5","0","0","0","-1","0","0","0","3","0.00","0"
"SULLIVAN MACK","F","26.0","Hartford Wolf Pack","4","0","0","0","0","2","0","0","6","0.00","0"
"TAG BERTUZZI","F","25.4","Utica Comets","14","0","0","0","-6","0","0","0","7","0.00","0"
"TARUN FIZER","R","25.3","Springfield Thunderbirds","2","0","0","0","1","0","0","0","1","0.00","0"
"TERRELL GOLDSMITH","D","21.1","Tucson Roadrunners","3","0","0","0","1","7","0","0","1","0.00","0"
"THOMAS MESSINEO","D","24.2","San Jose Barracuda","3","0","0","0","-1","0","0","0","3","0.00","0"
"TOMMY BUDNICK","D","22.4","Wilkes-Barre/Scranton Penguins","1","0","0","0","0","2","0","0","1","0.00","0"
"TRISTAN SARSLAND","D","22.3","San Jose Barracuda","4","0","0","0","-3","0","0","0","3","0.00","0"
"TROY MURRAY","F","28.8","Springfield Thunderbirds","2","0","0","0","-1","5","0","0","2","0.00","0"
"TYLER WEISS","L","26.5","Chicago Wolves","1","0","0","0","-1","0","0","0","0","0.00","0"
"VALTTERI PIIRONEN","D","24.8","Coachella Valley Firebirds","1","0","0","0","-2","0","0","0","0","0.00","0"
"VINCENT SEVIGNY","D","25.2","Lehigh Valley Phantoms","14","0","0","0","7","6","0","0","12","0.00","0"
"WILL MACKINNON","D","26.2","Cleveland Monsters","5","0","0","0","0","2","0","0","2","0.00","0"
"WILL RIEDELL","D","29.7","Providence Bruins","2","0","0","0","1","0","0","0","2","0.00","0"
"XAVIER BERNARD","D","26.5","Calgary Wranglers","6","0","0","0","2","12","0","0","3","0.00","0"
"ZACH BERZOLLA","D","28.1","Springfield Thunderbirds","4","0","0","0","-1","6","0","0","4","0.00","0"
"ZACH OKABE","C","25.5","Abbotsford Canucks","2","0","0","0","0","0","0","0","0","0.00","0"
